uuid,platform_name,decision_visibility,decision_ground,category,content_type,content_language,content_date,application_date,territorial_scope,automated_detection,automated_decision,created_at
0e6a3e3d-b859-4a67-b99e-d606e507c6c2,Google Shopping,DISABLED,INCOMPATIBLE_CONTENT,OTHER_VIOLATION_TC,PRODUCT,DE,03/12/2025,05/12/2025,"['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GR', 'HR', 'HU', 'IE', 'IS', 'IT', 'LI', 'LT', 'LU', 'LV', 'MT', 'NL', 'NO', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",1,FULLY,06/12/2025
5e0d1373-5999-4027-ba8f-1227699edae3,Google Shopping,DISABLED,INCOMPATIBLE_CONTENT,OTHER_VIOLATION_TC,PRODUCT,EN,22/10/2021,05/12/2025,"['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GR', 'HR', 'HU', 'IE', 'IS', 'IT', 'LI', 'LT', 'LU', 'LV', 'MT', 'NL', 'NO', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",0,NOT_AUTOMATED,06/12/2025
154e0168-0fb3-48a9-b303-ad51059a74aa,Google Shopping,DISABLED,INCOMPATIBLE_CONTENT,OTHER_VIOLATION_TC,PRODUCT,DE,03/12/2025,05/12/2025,"['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GR', 'HR', 'HU', 'IE', 'IS', 'IT', 'LI', 'LT', 'LU', 'LV', 'MT', 'NL', 'NO', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",1,NOT_AUTOMATED,06/12/2025
6ad871b7-6d66-45f9-b075-71a301708678,Shopify,REMOVED,INCOMPATIBLE_CONTENT,UNSAFE_AND_PROHIBITED_PRODUCTS,PRODUCT,,02/09/2025,05/12/2025,"['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",1,FULLY,06/12/2025
e07edd8e-f574-4f45-aa53-509e9c31194a,Google Shopping,DISABLED,INCOMPATIBLE_CONTENT,OTHER_VIOLATION_TC,PRODUCT,SK,10/04/2025,05/12/2025,"['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GR', 'HR', 'HU', 'IE', 'IS', 'IT', 'LI', 'LT', 'LU', 'LV', 'MT', 'NL', 'NO', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",0,NOT_AUTOMATED,06/12/2025
6dafb8d7-9a6d-4d3d-97ec-08cfc7a7e7a2,Google Shopping,DISABLED,INCOMPATIBLE_CONTENT,OTHER_VIOLATION_TC,PRODUCT,DE,27/11/2025,05/12/2025,"['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GR', 'HR', 'HU', 'IE', 'IS', 'IT', 'LI', 'LT', 'LU', 'LV', 'MT', 'NL', 'NO', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",1,FULLY,06/12/2025
11faa2d3-750c-4017-a981-54bf44899906,Google Shopping,DISABLED,INCOMPATIBLE_CONTENT,OTHER_VIOLATION_TC,PRODUCT,PL,02/11/2025,05/12/2025,"['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GR', 'HR', 'HU', 'IE', 'IS', 'IT', 'LI', 'LT', 'LU', 'LV', 'MT', 'NL', 'NO', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",1,NOT_AUTOMATED,06/12/2025
6cfad142-7151-433a-b5fc-7d4b316f1875,Google Shopping,DISABLED,INCOMPATIBLE_CONTENT,OTHER_VIOLATION_TC,PRODUCT,EN,23/11/2025,05/12/2025,"['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GR', 'HR', 'HU', 'IE', 'IS', 'IT', 'LI', 'LT', 'LU', 'LV', 'MT', 'NL', 'NO', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",0,NOT_AUTOMATED,06/12/2025
d85c5c97-43cc-4188-aa91-47e259bf858f,Google Shopping,DISABLED,INCOMPATIBLE_CONTENT,UNSAFE_AND_PROHIBITED_PRODUCTS,PRODUCT,EN,05/12/2025,05/12/2025,"['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GR', 'HR', 'HU', 'IE', 'IS', 'IT', 'LI', 'LT', 'LU', 'LV', 'MT', 'NL', 'NO', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",1,FULLY,06/12/2025
42185f5b-94d5-4090-8908-122efdbeaa31,Shopify,REMOVED,INCOMPATIBLE_CONTENT,UNSAFE_AND_PROHIBITED_PRODUCTS,PRODUCT,,05/12/2025,05/12/2025,"['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",1,FULLY,06/12/2025
