platform_name,total_decisions,decisions_automatiques,contenus_supprimes
App Store,2,2,2
Badoo,9,9,9
BlaBlaCar,12,12,0
Bumble,4,4,4
Campfire,14,14,14
Dailymotion,2,1,1
Deliveroo Ireland,1,1,0
Discord Netherlands B.V.,7,1,4
ElitePartner,2,0,2
Google Shopping,98912,46084,0
Habbo,1,0,0
Hotel Hideaway,20,20,16
Idealo,38,38,0
Kleinanzeigen,4,2,4
LOVOO,15,5,15
OLX,2,0,2
OTTO Market,1,1,0
Parship,1,0,0
Pinterest,224,7,35
Pornhub,6,1,0
Reddit,20,11,20
Roblox,286,263,0
Shopify,181,181,181
Snapchat,18,5,10
Trustpilot,60,60,8
Twitch,1,0,0
Upwork,25,25,0
Vimeo,7,0,7
Vinted UAB,24,24,24
Wallapop,9,7,0
Wizz,1,0,0
XVideos,2,0,0
Yubo,1,1,1
eBay,85,70,85
happn,4,0,0
