country,content_type,total
AT,PRODUCT,98758
BE,PRODUCT,98725
BG,PRODUCT,98724
CY,PRODUCT,98724
CZ,PRODUCT,98728
DE,PRODUCT,98783
DK,PRODUCT,98727
EE,PRODUCT,98724
ES,PRODUCT,98731
FI,PRODUCT,98741
FR,PRODUCT,98735
GR,PRODUCT,98726
HR,PRODUCT,98724
HU,PRODUCT,98726
IE,PRODUCT,98728
IS,PRODUCT,98511
IT,PRODUCT,98730
LI,PRODUCT,98511
LT,PRODUCT,98724
LU,PRODUCT,98724
LV,PRODUCT,98724
MT,PRODUCT,98724
NL,PRODUCT,98730
NO,PRODUCT,98530
PL,PRODUCT,98739
PT,PRODUCT,98729
RO,PRODUCT,98723
SE,PRODUCT,98725
SI,PRODUCT,98724
SK,PRODUCT,98725
AT,VIDEO,16
BE,VIDEO,16
BG,VIDEO,16
CY,VIDEO,16
CZ,VIDEO,16
DE,VIDEO,16
DK,VIDEO,16
EE,VIDEO,16
ES,VIDEO,16
FI,VIDEO,16
FR,VIDEO,16
GR,VIDEO,16
HR,VIDEO,16
HU,VIDEO,16
IE,VIDEO,16
IS,VIDEO,16
IT,VIDEO,16
LI,VIDEO,16
LT,VIDEO,16
LU,VIDEO,16
LV,VIDEO,16
MT,VIDEO,16
NL,VIDEO,16
NO,VIDEO,16
PL,VIDEO,16
PT,VIDEO,16
RO,VIDEO,16
SE,VIDEO,16
SI,VIDEO,16
SK,VIDEO,16
AT,OTHER,521
BE,OTHER,521
BG,OTHER,521
CY,OTHER,521
CZ,OTHER,521
DE,OTHER,526
DK,OTHER,521
EE,OTHER,521
ES,OTHER,521
FI,OTHER,521
FR,OTHER,521
GR,OTHER,521
HR,OTHER,521
HU,OTHER,521
IE,OTHER,521
IS,OTHER,505
IT,OTHER,521
LI,OTHER,505
LT,OTHER,521
LU,OTHER,521
LV,OTHER,521
MT,OTHER,521
NL,OTHER,521
NO,OTHER,505
PL,OTHER,521
PT,OTHER,523
RO,OTHER,521
SE,OTHER,521
SI,OTHER,521
SK,OTHER,521
AT,TEXT,274
BE,TEXT,273
BG,TEXT,273
CY,TEXT,273
CZ,TEXT,273
DE,TEXT,279
DK,TEXT,273
EE,TEXT,273
ES,TEXT,275
FI,TEXT,273
FR,TEXT,280
GR,TEXT,273
HR,TEXT,273
HU,TEXT,273
IE,TEXT,274
IT,TEXT,281
LT,TEXT,273
LU,TEXT,273
LV,TEXT,273
MT,TEXT,273
NL,TEXT,273
PL,TEXT,273
PT,TEXT,273
RO,TEXT,273
SE,TEXT,273
SI,TEXT,273
SK,TEXT,273
IS,TEXT,256
LI,TEXT,238
NO,TEXT,256
AT,IMAGE,308
BE,IMAGE,307
BG,IMAGE,307
CY,IMAGE,307
CZ,IMAGE,307
DE,IMAGE,308
DK,IMAGE,307
EE,IMAGE,307
ES,IMAGE,307
FI,IMAGE,307
FR,IMAGE,307
GR,IMAGE,307
HR,IMAGE,307
HU,IMAGE,307
IE,IMAGE,307
IS,IMAGE,303
IT,IMAGE,307
LI,IMAGE,301
LT,IMAGE,307
LU,IMAGE,307
LV,IMAGE,307
MT,IMAGE,307
NL,IMAGE,307
NO,IMAGE,303
PL,IMAGE,307
PT,IMAGE,307
RO,IMAGE,307
SE,IMAGE,307
SI,IMAGE,307
SK,IMAGE,307
AT,AUDIO,8
BE,AUDIO,8
BG,AUDIO,8
CY,AUDIO,8
CZ,AUDIO,8
DE,AUDIO,8
DK,AUDIO,8
EE,AUDIO,8
ES,AUDIO,8
FI,AUDIO,8
FR,AUDIO,8
GR,AUDIO,8
HR,AUDIO,8
HU,AUDIO,8
IE,AUDIO,8
IS,AUDIO,8
IT,AUDIO,8
LI,AUDIO,8
LT,AUDIO,8
LU,AUDIO,8
LV,AUDIO,8
MT,AUDIO,8
NL,AUDIO,8
NO,AUDIO,8
PL,AUDIO,8
PT,AUDIO,8
RO,AUDIO,8
SE,AUDIO,8
SI,AUDIO,8
SK,AUDIO,8
AT,APP,1
BE,APP,1
BG,APP,1
CY,APP,1
CZ,APP,1
DE,APP,1
DK,APP,1
EE,APP,1
ES,APP,1
FI,APP,1
FR,APP,1
GR,APP,1
HR,APP,1
HU,APP,1
IE,APP,1
IT,APP,1
LT,APP,1
LU,APP,1
LV,APP,1
MT,APP,1
NL,APP,1
PL,APP,1
PT,APP,1
RO,APP,1
SE,APP,1
SI,APP,1
SK,APP,1
